ZCTA,Median Home Value (Dollars),Bachelors degree or higher (Older than 25),Fire Department Battalion,Police Precinct,Population,White,Black or African American,Asian,Median Houshold Income (More than 200000 Dollars)
10001,632400,10006,7,10,21097,13471,2207,3538,1709
10002,572000,17211,4,7,81335,24793,5653,37432,1299
10003,802300,30139,6,9,55190,42415,1971,7773,5591
10004,886800,1603,1,1,2604,1872,159,408,499
10005,1000000,3139,1,1,4935,3719,51,1014,713
10006,799600,1732,1,1,2722,1702,87,602,448
10007,1000000,3420,1,1,5892,4237,406,797,1105
10009,641000,26003,4,9,62335,36614,5430,10020,2383
10010,732600,17375,8,13,28954,21802,1330,3691,3496
10011,890500,32508,7,10,51064,40505,1955,4739,7484
10012,1000000,14412,2,1,24342,18629,620,3686,2513
10013,1000000,9999,1,1,25942,13217,996,10502,2443
10014,945900,21403,2,6,31685,28206,552,1816,4456
10016,759300,33399,8,17,53754,40826,1893,7366,6787
10017,686100,10380,8,17,15603,11953,312,2792,2477
10018,816700,2520,7,10,5290,3106,380,1256,574
10019,800800,23492,9,18,40778,29568,2338,5294,4773
10021,1000000,27453,10,19,41546,36437,1019,3339,6497
10022,855100,19432,8,17,28847,24614,579,2809,5039
10023,889100,38378,9,20,60035,49473,1853,5583,9032
10024,1000000,36517,11,20,60239,50856,3073,2977,8400
10025,900900,47297,11,24,95330,61830,15484,8633,6918
10026,576000,9702,11,28,36026,8208,20832,1691,641
10027,663800,15963,11,28,58834,17072,24818,4854,1321
10028,1000000,29324,10,19,45345,40464,622,2982,6696
10029,841400,12547,12,23,78451,24145,24868,6327,1141
10030,642000,4922,16,32,29186,3947,21272,448,457
10031,419700,11097,16,30,58736,14545,22682,1285,742
10032,394600,9329,13,33,62798,14612,14490,2234,280
10033,448700,12122,13,34,58027,24020,4215,1295,810
10034,352200,9301,13,34,40925,14745,4131,728,268
10035,457300,4940,12,25,35290,7080,13402,1039,281
10036,798600,11824,9,18,22371,14015,1835,3888,1722
10037,277300,4408,16,25,17489,1349,13548,655,179
10038,637800,6915,1,1,19530,9283,1497,6398,1622
10039,377100,3863,16,32,25257,3090,17534,275,118
10040,324200,10318,13,34,43753,18176,4128,875,380
10044,461900,4822,14,114,11399,6428,2024,2003,406
10065,1000000,20614,10,19,32193,28407,419,2539,5179
10069,1000000,3827,9,20,5214,3828,118,1049,1168
10075,882100,16724,10,19,26082,22811,469,1773,4014
10128,1000000,36207,10,19,58793,48262,2295,5812,7356
10162,0,979,10,19,1608,1474,0,88,238
10279,0,0,1,1,0,0,0,0,0
10280,699800,5276,1,1,7741,5443,125,1623,1106
10282,1000000,2884,1,1,5027,3293,28,624,1283
10301,430400,8261,21,120,39367,24018,9016,2618,900
10302,390600,2134,22,121,17128,10103,3703,1023,169
10303,345300,3005,22,121,26274,10050,9720,2394,254
10304,416100,7674,21,120,40934,20809,10969,4844,813
10305,443900,8297,21,122,40085,30946,1884,4807,670
10306,463700,10991,23,122,55710,49421,1583,2298,1436
10307,600500,2913,23,123,14363,13721,195,287,582
10308,472400,5938,23,122,29014,27164,6,1275,1081
10309,556800,5980,23,123,30706,28190,883,1210,845
10310,445100,4768,22,120,24473,14183,6112,1338,454
10312,476000,12409,23,123,60318,56109,634,2785,1855
10314,451200,18338,22,121,87662,69703,2904,11358,1632
10451,124200,3610,14,44,43550,8303,20709,899,29
10452,427500,3901,17,44,75150,11281,25158,1058,33
10453,457400,5111,19,46,79376,7920,27827,1265,113
10454,408900,2022,14,40,38523,14403,13520,405,64
10455,375700,2137,26,40,37699,9288,12490,32,21
10456,369700,4678,26,44,86121,8118,37879,835,64
10457,377100,4179,18,48,69144,8881,27105,1049,57
10458,416600,5095,27,48,73436,14793,16266,2273,98
10459,345600,2490,26,41,45261,6998,14121,343,77
10460,426400,3414,18,42,55462,7426,14935,1307,63
10461,468400,9041,20,49,51767,26907,3644,6078,382
10462,341700,11018,3,49,75407,17823,20514,9001,161
10463,287100,18196,19,50,68345,29924,9856,2540,1461
10464,529500,1182,20,45,4255,3602,102,47,84
10465,452900,7218,20,45,42688,28721,3897,1052,665
10466,412800,9913,15,47,72997,6344,54920,1899,371
10467,383500,10955,27,52,93833,18516,36051,5111,222
10468,159000,7462,19,52,73738,10248,17835,2945,162
10469,440000,11211,15,49,71245,14848,39563,3145,622
10470,405500,2816,15,47,14952,6849,5137,530,75
10471,386700,8505,27,50,22222,16085,1842,1571,976
10472,456400,4410,3,43,66041,9690,20141,3841,198
10473,396400,6187,3,43,57444,8764,22645,972,291
10474,379800,585,3,41,12466,4771,3923,94,0
10475,74700,7337,15,45,41377,9261,23867,288,237
11001,504100,7409,53,105,26905,19707,1726,3698,1062
11004,455100,4829,53,105,14050,6894,583,5471,244
11005,431800,1157,53,105,1797,1775,22,0,141
11101,609500,5277,45,108,23798,11766,4017,4403,303
11102,616800,9385,49,114,33432,19511,2417,5334,391
11103,687400,11138,49,114,36508,27631,954,4339,608
11104,477700,7601,49,108,26230,16501,361,7730,299
11105,660400,11560,49,114,38103,29592,807,3660,651
11106,427500,9863,45,114,36305,21629,2982,6398,294
11109,480200,1895,45,108,2916,2175,131,450,414
11201,676200,26852,32,84,51356,34218,7258,4470,4975
11203,438600,10791,41,67,80337,3455,73154,995,566
11204,646800,11464,42,62,78690,54871,554,20780,573
11205,619100,9154,31,79,38997,19004,12943,1774,772
11206,547700,8309,35,90,79674,33226,21938,4098,249
11207,438700,6504,39,75,89676,12369,58797,1016,217
11208,468000,6144,39,75,93447,30198,45567,4741,459
11209,611400,22364,40,68,71704,56639,1427,8465,2044
11210,513500,12039,41,63,64508,23257,36438,1913,834
11211,661400,20585,35,94,90522,77004,3910,2987,1187
11212,399000,5083,44,73,80311,4015,68760,679,175
11213,587100,7378,38,77,62231,12234,44858,585,234
11214,610600,11492,42,62,78326,46636,774,26312,406
11215,906600,33261,48,78,65477,48921,3604,4244,4668
11216,644300,10599,38,79,53065,6049,41519,1897,404
11217,870700,17672,31,84,38992,20643,9046,2489,2553
11218,572600,17769,48,66,76811,44478,7539,12822,1027
11219,701300,9572,40,66,94083,62378,1340,24382,577
11220,621600,11909,40,72,99540,34656,3207,40109,590
11221,563100,7901,37,83,77041,19773,41962,2235,228
11222,700600,12124,28,94,33482,28754,672,1910,667
11223,631600,10721,33,62,73208,48847,2276,16766,749
11224,355800,8640,43,60,45092,27162,11536,2744,229
11225,639400,9930,38,71,58987,7893,46073,1163,471
11226,489800,12101,41,70,99422,10097,75953,3247,496
11228,670300,7731,42,68,42585,29670,688,10476,654
11229,549700,18244,43,61,77021,55534,3487,15443,995
11230,597300,19960,33,66,85757,62147,7897,9697,971
11231,894400,14546,32,76,35109,21658,4675,1969,1833
11232,596300,3960,40,72,27925,12195,1906,3329,178
11233,564100,7466,37,81,66315,2736,55643,848,518
11234,499600,19244,58,63,94891,44551,41709,3724,1615
11235,536400,23091,43,61,71129,56791,2085,10100,1168
11236,493300,15363,58,69,94643,7623,79744,2814,843
11237,500500,4536,28,90,52123,12547,3452,3172,204
11238,635900,20000,57,77,50840,18761,23266,3547,1318
11239,379200,1926,39,75,12802,4620,6313,158,56
11354,356200,12099,52,109,53050,15343,2275,30338,503
11355,496700,17748,52,109,82505,15962,2810,56173,706
11356,559900,4094,52,109,21721,12022,380,5309,335
11357,598500,10130,52,109,40516,31638,229,6809,1149
11358,627600,10365,53,109,38668,19464,707,15299,773
11360,506400,8079,53,109,20953,13369,193,6488,686
11361,600200,8376,53,111,28926,16610,926,8460,571
11362,524200,6828,53,111,17492,10361,439,6267,619
11363,742800,2945,53,111,7052,4351,62,2317,416
11364,500200,10803,53,111,35372,17530,540,15819,693
11365,587400,10796,52,111,41283,15495,3256,17904,561
11366,623500,4687,52,107,14160,6780,1123,5538,418
11367,362900,10787,52,107,38835,22440,4619,8156,528
11368,515100,8233,46,110,103401,46880,12652,12243,410
11369,517700,4558,49,115,39677,9342,7263,5095,299
11370,564300,4589,49,114,38370,13352,6571,7329,408
11372,253300,13628,49,115,63520,33645,1625,14472,600
11373,509700,16663,46,110,96474,38280,1413,46866,720
11374,314800,16249,50,112,42888,27039,1307,11050,812
11375,368300,30610,50,112,69266,43454,1780,18459,2496
11377,410700,17763,46,108,87143,40554,2695,31087,723
11378,554500,5151,46,104,33672,27652,310,2787,373
11379,577300,7190,46,104,34529,29655,627,2493,642
11385,538000,12460,51,104,99295,78838,1888,6538,916
11411,421400,4398,54,105,20426,660,18902,328,368
11412,420100,5533,54,113,36932,621,33260,757,380
11413,433800,6773,54,105,39922,1129,37290,293,433
11414,519500,4727,51,106,28480,24124,1150,577,742
11415,305100,5823,50,102,18677,11288,1538,2831,135
11416,477700,2617,51,102,23852,6656,1766,7655,219
11417,471700,3664,51,106,29928,12456,2325,7769,260
11418,467300,6156,51,102,36005,14601,4087,7487,321
11419,462800,5150,50,102,48138,5885,8786,16050,377
11420,462700,5569,50,106,47243,8428,13830,8810,587
11421,443900,5799,51,102,40975,15676,2576,7043,362
11422,436800,6000,54,105,31739,3103,26312,1202,578
11423,435000,5335,54,103,30890,5439,12463,7217,523
11426,487800,4685,53,105,19165,8475,807,7460,383
11427,460400,5780,53,111,24385,7124,6535,8211,406
11428,438600,3912,54,105,19764,5116,4600,6027,251
11429,420500,3930,53,105,29167,2092,23995,1185,276
11430,0,0,54,113,53,6,31,0,0
11432,544200,12803,50,107,56900,11608,9818,20834,777
11433,393100,3096,50,103,30076,789,23147,1386,219
11434,395600,7739,54,113,61183,1707,53347,1188,428
11435,380400,10179,50,103,52358,11471,12713,12073,420
11436,383900,1827,50,113,16956,484,12529,1089,149
11691,466200,7699,47,101,59376,22245,30779,972,593
11692,375900,1864,47,100,17070,3135,12276,403,164
11693,324300,1726,47,100,11407,6336,4113,303,120
11694,663400,5917,47,100,20792,17657,1992,291,694
11697,557300,1463,47,100,4381,4363,4,0,210
